,0,1,2,3,4,5,6,7
0,800307.0,-0.02,-109.46,-6.8,0.7,81.2365245417071,26.14,26.24
1,801027.0,0.0,-109.56,-7.2,3.2,81.2365245417071,22.653163236031727,21.73
2,810204.0,0.0,-109.56,-3.2,2.8,81.2365245417071,22.7810647188037,23.12
3,810515.0,0.01,-109.56,-3.7,3.0,81.2365245417071,23.615410440656387,27.715308835124443
4,810823.0,-0.04,-109.66,-4.5,1.8,81.2365245417071,23.420370577935127,27.715308835124443
5,811201.0,0.03,-109.49,-3.7,3.9,81.2365245417071,23.116665474799632,27.715308835124443
6,820311.0,0.03,-109.49,-2.1,0.6,81.2365245417071,23.309743725526744,27.715308835124443
7,830130.0,0.04,-109.22,-3.3047718697070954,0.2497619639283799,81.2365245417071,23.87153256789166,28.03
8,831120.0,0.0,-109.21,-1.9,1.4,81.2365245417071,24.26704813860255,19.94
9,840228.0,0.0,-109.21,1.1,2.3,81.2365245417071,23.983616960808664,26.51
10,840607.0,0.04,-109.85,-1.6,1.7,81.2365245417071,24.11153901801521,22.17
11,840915.0,0.04,-109.85,-3.0,1.3,81.2365245417071,23.846649281826497,20.1
12,850604.0,0.09,-110.01,-2.5,1.6,81.2365245417071,23.904137498358157,24.07
13,850912.0,0.1,-110.01,-6.2,3.4,81.2365245417071,23.727047642262225,21.28
14,851221.0,-0.01,-110.01,-5.4,1.9,81.2365245417071,23.945966124848695,21.76
15,860331.0,-0.01,-110.03,-3.2,0.4,81.2365245417071,24.227001371995442,24.64
16,860709.0,-0.01,-110.04,-4.1,4.9,81.2365245417071,24.386432212831423,23.59
17,861017.0,-0.01,-110.03,-4.4,5.2,81.2365245417071,24.32827000661883,24.28
18,870125.0,0.0,-109.96,-6.0,4.5,81.2365245417071,24.36283438444454,26.2
19,870611.0,0.03,-109.87,-6.3,1.9,81.2365245417071,24.551012220109033,26.45
20,870919.0,0.02,-109.88,-3.5,5.0,81.2365245417071,24.57362881152778,24.68
21,871228.0,-0.05,-109.87,-4.4,5.0,81.2365245417071,24.521303893037572,25.58
22,880406.0,-0.05,-109.85,-3.3,0.6,81.2365245417071,24.520977040890482,22.79
23,880715.0,0.02,-110.16,-5.4,2.7,81.2365245417071,24.317140887814848,21.51
24,881023.0,0.02,-110.17,-2.1,3.3,81.2365245417071,24.052751360357004,20.51
25,890131.0,-0.07,-109.99,-2.4,3.3,81.2365245417071,23.775183213885402,23.69
26,890511.0,0.0,-110.14,-4.2,-0.5,81.2365245417071,23.840029326373937,24.29
27,890819.0,0.0,-110.17,-5.7,2.3,81.2365245417071,23.80800496612206,22.49
28,891127.0,0.0,-110.02,-3.3047718697070954,0.2497619639283799,81.2365245417071,23.67073489113601,22.31
29,900307.0,0.0,-110.02,-3.5,0.4,81.2365245417071,23.667314389016212,25.32
30,900615.0,0.0,-110.08,-3.1,5.0,81.2365245417071,23.84742596698617,25.68
31,900923.0,0.0,-110.08,-5.6,4.2,81.2365245417071,24.047431710073067,24.39
32,910101.0,0.0,-109.96,-3.6,3.8,81.2365245417071,24.13404601004245,23.04
33,910411.0,-0.01,-109.96,-3.5,-0.2,81.2365245417071,24.183903902994768,24.46
34,910720.0,0.04,-110.01,-5.7,1.8,81.2365245417071,24.309624490189687,24.56
35,911028.0,0.04,-110.01,-4.1,5.2,81.2365245417071,24.233928479026954,24.36
36,920205.0,0.0,-109.98,-4.3,2.4,81.2365245417071,24.274785113434763,26.36
